PdDistrict,Category,IncidntNum
BAYVIEW,PROSTITUTION,7
BAYVIEW,VEHICLE THEFT,985
CENTRAL,PROSTITUTION,44
CENTRAL,VEHICLE THEFT,552
INGLESIDE,PROSTITUTION,5
INGLESIDE,VEHICLE THEFT,1368
MISSION,PROSTITUTION,66
MISSION,VEHICLE THEFT,1198
NORTHERN,PROSTITUTION,42
NORTHERN,VEHICLE THEFT,945
PARK,PROSTITUTION,1
PARK,VEHICLE THEFT,640
RICHMOND,PROSTITUTION,9
RICHMOND,VEHICLE THEFT,561
SOUTHERN,PROSTITUTION,96
SOUTHERN,VEHICLE THEFT,795
TARAVAL,PROSTITUTION,81
TARAVAL,VEHICLE THEFT,789
TENDERLOIN,PROSTITUTION,23
TENDERLOIN,VEHICLE THEFT,113
